threshold,model,treat_all,treat_none
0.01,0.013842124953236062,0.013764722576983112,0.0
0.014949494949494949,0.009022480374068732,0.00880927460797903,0.0
0.0198989898989899,0.004231617744324446,0.003803776767701897,0.0
0.02484848484848485,-0.0004389421890118421,-0.0012525330456793597,0.0
0.029797979797979796,-0.004967945202018691,-0.006360432485475118,0.0
0.03474747474747475,-0.009658732793502791,-0.011520715155189255,0.0
0.039696969696969696,-0.01414726877997136,-0.016734191019563315,0.0
0.04464646464646465,-0.01868919984217379,-0.02200168682839802,0.0
0.049595959595959596,-0.023125327547725772,-0.02732404655361766,0.0
0.05454545454545454,-0.0274339326063464,-0.03270213184006286,0.0
0.059494949494949496,-0.031552443566042615,-0.0381368224705175,0.0
0.06444444444444444,-0.03579933443149104,-0.043629016845496485,0.0
0.06939393939393938,-0.04013236335629354,-0.04917963247834456,0.0
0.07434343434343434,-0.04460677658648729,-0.054789606506218724,0.0
0.07929292929292929,-0.04894462624237342,-0.06045989621755221,0.0
0.08424242424242423,-0.05302536613155294,-0.06619147959662347,0.0
0.08919191919191918,-0.057178359423543795,-0.07198535588588094,0.0
0.09414141414141414,-0.06153338733547291,-0.07784254616670254,0.0
0.09909090909090908,-0.0660136631986731,-0.08376409395929907,0.0
0.10404040404040403,-0.07050470756103847,-0.0897510658425015,0.0
0.10898989898989898,-0.0740663281328387,-0.0958045520942057,0.0
0.11393939393939392,-0.07779280294493274,-0.10192566735328185,0.0
0.11888888888888888,-0.08128838061003124,-0.10811555130379322,0.0
0.12383838383838383,-0.08506904414213615,-0.11437536938240586,0.0
0.12878787878787878,-0.08852240546393471,-0.1207063135099117,0.0
0.13373737373737374,-0.09220152827814948,-0.1271096028478298,0.0
0.1386868686868687,-0.09562922433600969,-0.133586484581094,0.0
0.14363636363636365,-0.09920741445743278,-0.1401382347278826,0.0
0.1485858585858586,-0.1029609962685838,-0.14676615897769468,0.0
0.15353535353535352,-0.10645214385647271,-0.15347159355882917,0.0
0.15848484848484848,-0.11005173402575709,-0.1602559061364768,0.0
0.16343434343434343,-0.11317640034258543,-0.1671204967426936,0.0
0.16838383838383839,-0.11558536426079578,-0.1740667987395832,0.0
0.17333333333333334,-0.11868125077246323,-0.1810962798170807,0.0
0.1782828282828283,-0.12129878856242164,-0.18821044302679638,0.0
0.18323232323232325,-0.12411073299198368,-0.19541082785344896,0.0
0.18818181818181817,-0.12640388776620776,-0.20269901132549314,0.0
0.19313131313131313,-0.1295090784324635,-0.2100766091666235,0.0
0.19808080808080808,-0.1324081594701103,-0.21754527698992168,0.0
0.20303030303030303,-0.13541074836472766,-0.22510671153650044,0.0
0.207979797979798,-0.13920149562594886,-0.23276265196059026,0.0
0.21292929292929294,-0.14109142953050058,-0.24051488116311454,0.0
0.21787878787878787,-0.14233422055169842,-0.24836522717589932,0.0
0.22282828282828282,-0.14507796790453226,-0.2563155645987768,0.0
0.22777777777777777,-0.14720177880683954,-0.26436781609195403,0.0
0.23272727272727273,-0.14923765079019202,-0.27252395392614376,0.0
0.23767676767676768,-0.15202153351132397,-0.2807860015930818,0.0
0.24262626262626263,-0.15577265900110615,-0.28915603547919294,0.0
0.24757575757575756,-0.1586152375103449,-0.29763618660531455,0.0
0.2525252525252525,-0.1607469538504021,-0.30622864243553893,0.0
