timing_bin,n,positives,average_precision,roc_auc
0-2h,1193,32,0.07985020691149812,0.7221414728682171
2-6h,163,3,0.19208173690932312,0.6854166666666667
6-12h,107,1,0.02,0.5377358490566038
12-24h,103,1,0.03333333333333333,0.7156862745098039
