model,feature_count,leakage_risk,average_precision,roc_auc,selected_precision,selected_recall,holdout_rows,holdout_positive,ece
ICD demo+ECG,16,low,0.0116893088301065,0.6855376145281236,0.0203045685279187,0.0571428571428571,13978,70,0.3551793940496924
LLM demo+ECG,16,low,0.064650166498791,0.7069450091032826,0.0408163265306122,0.054054054054054,1566,37,0.29377267903882504
LLM vitals+ECG,26,moderate,0.6510649411985172,0.9031870326834356,0.4901960784313725,0.6756756756756757,1566,37,0.08911446273775861
LLM labs/vitals/ECG,76,higher,0.6474414520157236,0.9266257755466388,0.6551724137931034,0.5135135135135135,1566,37,0.06113263992712771
LLM demo+labs+ECG,26,higher,0.1372398110144155,0.7939829954218444,0.1129032258064516,0.1891891891891892,1566,37,0.2533995301320562
