top_percent,k,tp,fp,sensitivity,ppv
0.01,16,2,14,0.05405405405405406,0.125
0.02,32,2,30,0.05405405405405406,0.0625
0.05,79,7,72,0.1891891891891892,0.08860759493670886
0.1,157,13,144,0.35135135135135137,0.08280254777070063
